19.950,5.550,-23.400,-0.077,-0.153,9.739
19.050,5.700,-23.100,0.000,-0.153,9.586
19.500,6.000,-22.950,-0.153,-0.230,9.509
19.200,5.550,-22.950,-0.077,-0.077,9.739
18.600,6.000,-23.250,-0.153,-0.153,9.663
18.900,5.250,-23.550,0.000,-0.077,9.663
18.150,4.800,-22.950,-0.077,-0.230,9.739
18.150,5.250,-22.200,-0.153,-0.153,9.663
18.600,4.950,-22.950,-0.077,-0.153,9.739
19.200,6.150,-22.950,0.000,-0.230,9.663
19.500,5.550,-22.950,0.000,-0.230,9.663
18.900,5.700,-23.400,-0.153,-0.153,9.663
19.350,5.850,-23.550,-0.077,-0.230,9.739
19.500,5.700,-22.500,0.230,-0.153,9.586
18.900,5.400,-22.500,0.000,-0.077,9.433
18.450,5.700,-23.250,0.000,-0.153,9.739
18.900,4.800,-23.100,0.077,-0.153,9.663
18.600,5.700,-23.250,0.000,-0.153,9.509
19.650,5.550,-22.950,-0.153,-0.153,9.509
20.250,5.250,-22.950,-0.077,-0.077,9.663
18.600,5.550,-23.400,-0.077,-0.230,9.586
19.350,5.700,-23.400,-0.153,-0.077,9.586
18.600,5.550,-23.700,-0.077,-0.153,9.586
18.600,5.550,-22.350,-0.077,-0.153,9.663
18.750,6.000,-23.400,0.000,-0.230,9.663
19.650,5.100,-22.950,0.000,-0.153,9.739
19.050,5.850,-23.400,0.000,-0.077,9.586
19.200,5.550,-23.250,-0.077,-0.077,9.586
19.500,6.000,-22.500,-0.153,-0.153,9.663
19.650,5.400,-23.400,0.000,-0.077,9.663
19.350,5.850,-23.100,-0.153,-0.153,9.969
19.800,6.450,-22.650,0.000,-0.153,9.663
18.150,6.000,-23.850,-0.077,-0.230,9.663
18.750,6.300,-23.400,0.000,-0.153,9.663
19.050,5.700,-22.950,0.000,-0.153,9.663
19.200,5.700,-23.850,-0.153,-0.077,9.739
18.900,6.300,-23.250,-0.153,-0.230,9.586
18.750,5.550,-23.400,-0.077,-0.153,9.739
19.050,5.700,-22.650,0.000,-0.153,9.663
18.450,5.850,-22.650,-0.077,-0.153,9.509
18.750,5.550,-23.400,-0.077,-0.077,9.663
18.450,5.700,-22.650,0.077,-0.230,9.586
19.350,4.950,-22.650,0.000,-0.153,9.663
19.350,5.850,-23.100,-0.077,-0.153,9.663
18.750,5.400,-23.400,0.000,-0.153,9.739
18.750,4.500,-23.100,-0.077,-0.230,9.663
19.500,5.400,-22.950,0.230,-0.077,9.739
19.800,5.550,-24.300,-0.307,-0.153,9.663
19.200,5.250,-23.850,-0.077,-0.077,9.586
20.550,5.550,-23.250,-0.077,-0.153,9.433
19.350,6.000,-22.800,-0.153,-0.230,9.586
19.200,4.950,-23.100,0.000,-0.153,9.663
18.600,5.400,-21.750,-0.077,-0.153,9.893
19.500,5.550,-24.000,-0.077,-0.077,9.586
19.200,5.700,-22.800,0.000,-0.153,9.586
19.200,5.250,-23.250,-0.077,-0.077,9.663
18.750,5.550,-23.700,-0.153,-0.230,9.663
18.900,5.550,-21.750,0.000,-0.230,9.739
18.600,5.850,-23.250,-0.077,-0.153,9.893
19.350,5.700,-23.250,-0.077,-0.153,9.586
18.750,5.100,-23.400,-0.153,-0.153,9.663
19.050,5.100,-22.950,-0.153,-0.230,9.663
19.200,5.550,-24.000,0.077,-0.153,9.739
18.750,5.400,-23.850,0.000,-0.077,9.663
18.450,6.300,-22.800,-0.153,-0.153,9.433
18.900,5.700,-23.400,-0.077,-0.153,9.586
19.050,5.250,-23.550,-0.077,-0.153,9.739
19.050,6.150,-22.650,-0.077,-0.230,9.663
19.650,5.250,-23.100,-0.077,-0.153,9.739
19.500,5.550,-23.550,0.000,-0.077,9.586
18.750,6.300,-22.950,-0.077,-0.153,9.663
19.500,5.400,-23.400,-0.077,-0.230,9.663
19.200,5.700,-22.800,0.000,-0.153,9.663
19.200,4.800,-23.100,-0.077,-0.153,9.739
18.750,6.000,-22.200,0.153,-0.077,9.586
18.750,5.700,-22.950,0.000,-0.077,9.509
19.350,5.100,-23.100,-0.077,-0.230,9.663
18.600,5.850,-22.950,-0.077,-0.153,9.663
19.500,6.000,-22.200,-0.077,-0.153,9.663
19.800,5.550,-22.800,0.000,-0.077,9.816
18.900,5.550,-22.650,-0.077,0.000,9.663
20.250,5.550,-23.100,-0.077,-0.230,9.663
18.600,4.950,-22.950,-0.077,-0.077,9.663
19.500,5.400,-23.850,0.077,-0.230,9.586
19.200,5.700,-23.100,0.000,-0.077,9.663
19.200,5.700,-23.400,-0.077,-0.153,9.586
18.900,6.000,-23.550,-0.077,-0.153,9.893
19.350,4.950,-22.650,0.000,-0.077,9.739
19.650,6.000,-22.950,-0.077,-0.153,9.586
18.450,5.550,-22.950,-0.077,-0.153,9.586
19.350,5.550,-23.700,-0.614,0.000,8.972
18.600,5.100,-23.100,-0.230,-0.383,9.663
19.050,5.700,-23.100,0.000,-0.230,9.586
19.650,6.150,-22.950,-0.307,-0.230,9.663
18.900,5.400,-22.800,0.000,-0.153,9.739
19.350,5.100,-23.100,0.000,-0.077,9.509
18.750,4.950,-22.800,0.000,-0.153,9.739
19.350,5.250,-22.650,-0.307,-0.153,9.356
19.050,5.550,-23.100,0.153,-0.077,9.356
19.350,6.000,-22.500,-0.153,-0.230,9.663
18.600,6.000,-22.500,-0.077,-0.153,9.739
19.500,5.700,-22.800,-0.077,-0.230,9.663
19.200,5.550,-23.400,0.000,-0.230,9.586
18.750,5.700,-23.250,-0.077,-0.153,9.663
18.600,5.250,-22.800,0.000,-0.153,9.739
20.400,4.950,-23.550,0.000,-0.230,9.663
18.600,5.700,-23.700,0.000,-0.153,9.663
19.350,5.850,-22.950,-0.077,-0.153,9.739
19.200,5.250,-23.400,-0.077,-0.230,9.509
19.650,5.700,-22.500,0.077,-0.153,9.663
18.450,5.550,-22.950,0.000,-0.153,9.586
19.350,5.550,-23.400,0.077,-0.077,9.433
19.350,5.250,-23.550,0.077,-0.307,9.509
19.200,5.400,-22.650,0.153,-0.077,9.663
18.900,6.300,-22.650,0.077,-0.230,9.586
20.550,5.850,-22.800,0.077,-0.077,9.739
20.250,5.550,-22.800,0.383,-0.230,9.586
20.400,4.350,-22.950,-0.077,-0.230,9.509
22.650,4.200,-23.850,0.153,-0.077,9.739
23.550,3.450,-23.700,-0.077,-0.077,9.816
24.150,2.250,-23.250,0.153,-0.077,9.356
24.450,2.550,-23.550,0.230,-0.153,9.663
24.600,1.050,-23.250,0.077,0.000,9.663
25.800,0.000,-23.250,0.077,-0.077,9.739
25.950,0.450,-23.550,0.077,0.000,9.739
27.150,-2.100,-23.850,0.077,0.000,9.586
28.050,-1.650,-23.550,0.077,-0.230,9.739
28.650,-2.250,-23.850,0.153,-0.077,9.663
29.250,-4.200,-24.150,0.077,-0.153,9.816
29.850,-2.100,-23.700,0.077,-0.077,9.663
28.950,-3.000,-23.850,0.307,-0.153,9.663
29.400,-4.050,-24.450,0.307,-0.077,9.586
29.250,-3.600,-24.450,0.230,0.000,9.433
28.800,-5.100,-23.550,0.383,-0.077,9.739
28.350,-4.650,-23.400,0.307,0.000,9.663
29.850,-5.250,-23.550,0.307,0.000,9.663
29.550,-6.750,-24.000,0.537,0.000,9.586
29.550,-5.850,-23.850,0.614,-0.077,9.663
30.900,-6.900,-24.450,0.537,-0.153,9.586
30.900,-8.250,-23.850,0.614,-0.077,9.509
31.200,-9.750,-24.450,0.230,0.000,9.739
31.200,-9.750,-24.300,0.614,0.000,9.816
30.600,-10.950,-25.500,0.614,0.000,9.663
31.650,-12.750,-24.300,0.690,0.000,9.663
30.300,-15.000,-24.600,0.614,-0.153,9.586
30.600,-15.150,-23.700,0.690,0.077,9.739
31.050,-16.800,-24.750,0.537,0.077,9.739
30.300,-18.900,-24.150,0.537,-0.230,9.739
29.700,-20.550,-24.450,0.997,-0.153,9.509
29.550,-22.350,-24.150,1.380,-0.077,9.586
