25.050,30.000,68.100,2.172,-2.128,9.622,-0.168,0.808,-0.861
28.050,30.000,67.350,0.977,-3.553,9.828,0.307,1.561,-0.036
36.000,31.950,63.300,-0.879,-2.239,9.357,0.745,1.240,0.157
40.200,39.900,57.750,-2.157,-0.800,9.012,1.034,0.848,-0.045
43.650,41.400,56.250,-2.940,0.089,8.973,1.090,0.762,0.266
44.550,48.300,50.850,-3.572,0.752,9.108,0.919,0.311,0.014
46.200,51.150,48.750,-3.065,1.810,9.210,1.720,0.188,-0.423
48.150,52.800,45.000,-3.862,3.089,8.358,2.004,0.354,0.100
47.400,60.600,29.700,-4.096,4.975,6.160,2.751,0.184,0.374
47.400,63.000,24.150,-5.131,6.100,4.410,2.692,-0.571,-0.424
49.500,62.400,19.800,-4.958,7.465,1.956,2.933,-1.296,-0.301
49.050,62.400,11.700,-4.891,8.047,0.500,3.073,-1.998,-0.355
50.550,61.200,4.650,-3.754,9.462,-1.647,3.493,-2.171,0.526
53.100,55.950,-0.300,-3.730,9.881,-3.170,1.789,-1.715,0.300
53.250,56.100,0.450,-2.653,8.339,-3.036,2.073,-1.718,0.610
53.250,55.350,-1.650,-3.299,7.657,-4.561,2.355,-2.042,0.761
55.200,53.700,-1.650,-3.237,7.140,-5.930,2.463,-1.978,0.718
54.000,54.600,-4.650,-3.110,6.433,-7.331,2.578,-1.308,1.381
52.200,52.950,-7.200,-2.564,6.596,-8.610,1.466,-0.874,1.196
50.100,54.000,-9.600,-3.230,6.469,-9.450,1.261,-1.080,1.266
48.750,54.900,-10.500,-3.254,4.357,-8.466,0.855,-0.670,1.430
45.450,55.500,-9.300,-3.247,4.542,-8.914,0.528,-1.078,1.072
45.900,55.950,-9.300,-2.890,4.530,-8.736,0.816,-0.939,1.481
42.900,58.200,-9.300,-3.433,4.621,-8.289,0.185,-0.576,1.646
36.900,60.450,-10.500,-2.880,4.781,-8.322,0.952,-0.626,1.377
34.050,60.600,-11.850,-2.885,4.645,-8.540,0.291,-0.798,1.606
31.800,61.350,-11.550,-3.112,4.575,-8.511,0.470,-0.849,1.650
27.300,61.800,-12.900,-2.598,5.183,-8.763,0.665,-0.941,1.367
24.450,60.450,-14.250,-2.789,4.262,-8.576,0.628,-0.997,1.269
23.700,60.000,-15.000,-1.978,4.149,-7.549,0.671,-0.909,1.074
22.500,55.650,-18.300,-2.880,3.807,-7.592,1.164,-0.887,0.981
22.350,53.550,-20.850,-4.207,4.238,-9.780,0.451,-0.333,1.516
19.500,54.150,-22.050,-3.622,3.802,-9.076,1.112,-0.598,1.304
18.000,49.800,-24.750,-3.089,4.135,-8.691,0.283,-1.145,0.872
18.750,47.100,-26.550,-3.900,3.644,-8.212,0.492,-1.076,0.764
21.150,45.000,-26.700,-5.387,3.259,-8.413,0.692,-1.281,0.769
22.950,42.750,-27.750,-5.382,3.115,-7.518,0.458,-0.954,0.904
27.300,37.950,-29.700,-6.031,2.981,-7.551,0.285,-1.100,0.745
31.050,37.950,-26.700,-6.546,2.902,-7.286,0.830,-1.295,0.636
31.800,38.250,-26.700,-6.759,3.112,-5.990,1.195,-0.762,0.529
33.600,31.050,-26.250,-7.508,2.976,-6.266,1.112,-0.165,0.696
33.900,30.300,-28.500,-7.185,2.626,-6.768,1.248,-0.184,0.610
35.400,26.700,-29.550,-6.196,1.657,-6.783,1.546,0.317,0.672
35.250,18.300,-29.400,-6.050,1.391,-6.883,1.535,-0.038,0.649
34.050,15.900,-29.400,-6.500,0.737,-7.647,1.966,0.654,1.017
31.500,13.950,-28.650,-5.816,0.364,-7.377,1.362,0.882,1.349
28.650,4.800,-29.250,-5.380,0.098,-8.310,1.479,1.214,1.504
26.700,1.650,-28.500,-4.094,-0.239,-9.273,1.089,0.723,1.293
26.700,1.650,-28.500,-3.912,-0.333,-9.012,1.201,1.221,1.256
25.800,-4.200,-27.900,-2.763,-1.542,-9.692,0.930,1.646,1.414
21.450,-5.550,-27.300,-1.288,-1.853,-9.838,0.656,1.610,1.512
21.450,-5.550,-27.300,-0.294,-2.291,-9.371,0.466,1.864,1.778
16.500,-8.700,-27.300,1.413,-2.480,-10.666,-0.276,1.683,1.728
13.950,-6.900,-28.200,1.970,-2.157,-10.475,-0.566,1.152,1.799
13.950,-6.900,-28.200,2.871,-2.447,-9.086,-0.114,1.093,1.902
12.300,-6.750,-29.250,3.390,-2.090,-9.254,-1.132,2.039,1.787
7.500,-1.500,-33.150,5.650,-2.286,-8.255,-1.537,1.897,1.928
7.500,-1.500,-33.150,6.065,-1.769,-6.919,-1.443,1.573,1.711
-0.450,4.800,-34.800,6.551,-0.682,-7.539,-1.429,1.298,1.114
-5.400,8.400,-34.050,8.574,-1.180,-5.492,-1.873,1.623,1.092
-12.600,14.550,-31.050,8.521,-0.857,-5.574,-1.634,2.045,1.263
-18.000,14.550,-28.050,9.402,-1.379,-3.948,-1.620,2.324,0.841
-26.850,18.750,-21.150,10.276,-0.848,-3.019,-1.924,2.039,0.003
-31.650,28.350,-12.750,10.293,-0.318,-0.589,-2.192,1.262,-1.362
-34.350,34.950,-9.750,9.050,0.910,0.848,-1.998,1.134,-0.660
-34.350,40.500,-1.650,10.331,1.774,2.234,-1.944,0.939,-0.297
-33.000,44.550,5.850,8.916,1.568,2.626,-2.461,0.992,-0.288
-31.800,46.950,10.800,9.189,1.638,4.611,-2.072,0.454,-0.775
-28.800,50.100,18.600,8.744,1.415,2.313,-1.576,-0.030,-0.783
-26.550,50.400,24.900,8.698,1.784,4.278,-2.217,0.629,-0.926
-23.700,51.000,31.800,7.683,1.724,4.820,-2.152,1.026,-1.362
-17.400,50.850,41.700,6.522,1.379,6.838,-1.679,0.306,-1.282
-11.550,49.500,45.150,8.368,3.045,5.586,-2.652,1.833,-1.919
-1.200,45.150,54.450,3.974,1.180,9.371,-0.684,-0.333,-1.542
0.000,46.500,54.300,6.452,2.296,7.719,-1.168,-0.099,-1.505
3.600,43.500,57.150,4.822,2.059,7.946,-1.085,0.252,-1.559
7.650,37.650,57.900,4.137,1.791,8.420,-0.865,0.361,-1.507
